ds,revenue,demand,sales
2023-10-03,12947.42,270.0,116.0
2023-10-04,14692.43,310.0,135.0
2023-10-05,13389.05,283.0,121.0
2023-10-06,17785.16,381.0,152.0
2023-10-07,12358.1,273.0,118.0
2023-10-08,8951.26,216.0,95.0
2023-10-09,10829.2,257.0,109.0
2023-10-10,12823.71,283.0,126.0
2023-10-11,18903.77,359.0,144.0
2023-10-12,15842.15,329.0,138.0
2023-10-13,12118.3,282.0,123.0
2023-10-14,11801.6,253.0,113.0
2023-10-15,11605.0,244.0,99.0
2023-10-16,12048.34,252.0,101.0
2023-10-17,11319.83,251.0,118.0
2023-10-18,15716.24,356.0,155.0
2023-10-19,15679.47,367.0,159.0
2023-10-20,15088.8,329.0,134.0
2023-10-21,13834.57,291.0,120.0
2023-10-22,8822.14,205.0,97.0
2023-10-23,11241.0,270.0,110.0
2023-10-24,11522.65,265.0,115.0
2023-10-25,11787.5,308.0,139.0
2023-10-26,17456.65,370.0,158.0
2023-10-27,15268.63,326.0,137.0
2023-10-28,15670.45,318.0,131.0
2023-10-29,11764.48,254.0,100.0
2023-10-30,11230.58,277.0,121.0
2023-10-31,14642.55,333.0,135.0
2023-11-01,14865.13,310.0,140.0
2023-11-02,15079.14,361.0,157.0
2023-11-03,15751.31,337.0,144.0
2023-11-04,12423.67,294.0,131.0
2023-11-05,10113.74,210.0,98.0
2023-11-06,11325.94,270.0,107.0
2023-11-07,15113.04,329.0,147.0
2023-11-08,15322.42,333.0,148.0
2023-11-09,22062.13,440.0,195.0
2023-11-10,17225.98,361.0,143.0
2023-11-11,14476.4,340.0,152.0
2023-11-12,13431.13,272.0,119.0
2023-11-13,10903.81,232.0,102.0
2023-11-14,16932.19,392.0,167.0
2023-11-15,13038.77,294.0,129.0
2023-11-16,17639.91,399.0,174.0
2023-11-17,15370.01,340.0,151.0
2023-11-18,12693.34,262.0,116.0
2023-11-19,12830.09,284.0,120.0
2023-11-20,12969.84,288.0,127.0
2023-11-21,15606.27,333.0,152.0
2023-11-22,18416.56,396.0,170.0
2023-11-23,21649.82,455.0,191.0
2023-11-24,13619.93,311.0,139.0
2023-11-25,13830.32,313.0,135.0
2023-11-26,11105.25,252.0,120.0
2023-11-27,12882.8,273.0,122.0
2023-11-28,15066.45,321.0,147.0
2023-11-29,16249.06,379.0,178.0
2023-11-30,17546.37,398.0,169.0
2023-12-01,19313.92,435.0,178.0
2023-12-02,14953.51,364.0,150.0
2023-12-03,14261.03,292.0,132.0
2023-12-04,10828.56,271.0,111.0
2023-12-05,13648.42,320.0,143.0
2023-12-06,19822.29,434.0,172.0
2023-12-07,19506.77,416.0,168.0
2023-12-08,15822.36,353.0,153.0
2023-12-09,14588.28,326.0,147.0
2023-12-10,13438.17,309.0,132.0
2023-12-11,13926.71,284.0,124.0
2023-12-12,14756.63,340.0,156.0
2023-12-13,21018.31,465.0,196.0
2023-12-14,17066.88,383.0,182.0
2023-12-15,20547.82,409.0,170.0
2023-12-16,15468.83,335.0,141.0
2023-12-17,9704.81,232.0,103.0
2023-12-18,12462.92,268.0,122.0
2023-12-19,16501.72,376.0,151.0
2023-12-20,18031.0,402.0,181.0
2023-12-21,18289.59,387.0,164.0
2023-12-22,17143.46,388.0,173.0
2023-12-23,15610.22,323.0,144.0
2023-12-24,13177.74,301.0,127.0
2023-12-25,13524.89,286.0,123.0
2023-12-26,16762.01,362.0,157.0
2023-12-27,18912.78,426.0,186.0
2023-12-28,19463.63,423.0,179.0
2023-12-29,19700.57,420.0,186.0
2023-12-30,14725.41,317.0,144.0
2023-12-31,11640.02,263.0,112.0
2024-01-01,14521.05,320.0,138.0
2024-01-02,18955.73,436.0,177.0
2024-01-03,18137.89,416.0,176.0
2024-01-04,16531.74,409.0,177.0
2024-01-05,19779.54,424.0,179.0
2024-01-06,14238.4,309.0,138.0
2024-01-07,15682.4,321.0,134.0
2024-01-08,14208.33,324.0,138.0
2024-01-09,14582.7,319.0,134.0
2024-01-10,17413.14,396.0,168.0
2024-01-11,18638.46,421.0,168.0
2024-01-12,19827.56,443.0,187.0
2024-01-13,15404.85,310.0,125.0
2024-01-14,13985.5,303.0,125.0
2024-01-15,13083.12,302.0,131.0
2024-01-16,15541.24,338.0,154.0
2024-01-17,18144.18,399.0,180.0
2024-01-18,17192.42,387.0,158.0
2024-01-19,18446.16,382.0,174.0
2024-01-20,16109.43,349.0,141.0
2024-01-21,14221.81,334.0,141.0
2024-01-22,15728.92,353.0,148.0
2024-01-23,17870.68,374.0,166.0
2024-01-24,16506.93,393.0,180.0
2024-01-25,21236.09,470.0,194.0
2024-01-26,17603.29,371.0,157.0
2024-01-27,12177.04,304.0,131.0
2024-01-28,12111.58,276.0,129.0
2024-01-29,13234.33,271.0,113.0
2024-01-30,17993.23,384.0,163.0
2024-01-31,19040.24,417.0,181.0
2024-02-01,18229.22,417.0,180.0
